STATE,RATE,DEATHS,INDEPENDENT--> ,POVRT,PARTY,CRIME,URBAN,LEGI,MINORITY,GANG,AGE,,EDUC,MENTAL,INCOME,BKRND,URL,,,,
NORTH CAROLINA,11.7,12.5,,16.4000,1,347,66.1,15.5,34.7,0,37.4,0.2770 ,27.7000 ,165.64,33071.00,0,/nchs/pressroom/states/northcarolina.htm,,,,66.1
NORTH DAKOTA,12.1,12.8,,11.0000,1,239.4,59.9,16.0,11.1,0,37,0.2610 ,26.1000 ,96.37,26937.00,0,/nchs/pressroom/states/northdakota.htm,,,,59.9
OHIO,10.3,11.9,,14.8000,1,291.9,77.9,24.0,18.9,0,38.8,0.2410 ,24.1000 ,73.13,25229.00,0,/nchs/pressroom/states/ohio.htm,,,,77.9
OKLAHOMA,15.6,18,,16.1000,1,422,66.2,15.0,31.3,1,36.2,0.3080 ,30.8000 ,53.05,27646.00,0,/nchs/pressroom/states/oklahoma.htm,,,,66.2
OREGON,11.7,11.4,,15.4000,0,259.8,81.0,25.0,21.5,0,38.4,0.2860 ,28.6000 ,157.08,29220.00,1,/nchs/pressroom/states/oregon.htm,,,,81.0
PENNSYLVANIA,10.5,11.4,,13.2000,1,315.1,78.7,34.0,20.5,0,40.1,0.3190 ,31.9000 ,280.78,30830.00,0,/nchs/pressroom/states/pennsylvania.htm,,,,78.7
RHODE ISLAND,2.9,4.7,,13.9000,0,242.5,90.7,55.5,23.6,0,39.4,0.2580 ,25.8000 ,90.51,24596.00,1,/nchs/pressroom/states/rhodeisland.htm,,,,90.7
SOUTH CAROLINA,15.5,17.3,,16.6000,1,504.5,66.3,15.0,35.9,0,37.9,0.2700 ,27.0000 ,59.95,26959.00,0,/nchs/pressroom/states/southcarolina.htm,,,,66.3
SOUTH DAKOTA,10.3,11.1,,13.7000,1,383.1,56.7,10.0,15.3,0,36.9,0.2490 ,24.9000 ,85.35,24922.00,0,/nchs/pressroom/states/southdakota.htm,,,,56.7
TENNESSEE,14.7,16,,16.7000,1,612.1,66.4,16.0,24.4,0,38,0.2760 ,27.6000 ,77.40,27125.00,0,/nchs/pressroom/states/tennessee.htm,,,,66.4
TEXAS,10.6,11.7,,15.9000,1,412.2,84.7,15.5,54.7,0,33.6,0.2980 ,29.8000 ,38.99,24877.00,0,/nchs/pressroom/states/texas.htm,,,,84.7
UTAH,12.3,12.8,,11.3000,1,236,90.6,12.0,19.6,0,29.2,0.3110 ,31.1000 ,64.17,29178.00,0,/nchs/pressroom/states/utah.htm,,,,90.6
VERMONT,10.3,9.6,,10.2000,0,118,38.9,10.0,5.7,0,41.5,0.3600 ,36.0000 ,239.84,34052.00,0,/nchs/pressroom/states/vermont.htm,,,,38.9
VIRGINIA,10.3,10.9,,11.2000,0,195.6,75.5,21.0,35.2,0,37.5,0.3630 ,36.3000 ,90.72,31841.00,0,/nchs/pressroom/states/virginia.htm,,,,75.5
WASHINGTON,9.6,9.8,,12.2000,0,284.4,84.1,33.5,27.5,0,37.3,0.3290 ,32.9000 ,113.57,22714.00,1,/nchs/pressroom/states/washington.htm,,,,84.1
WEST VIRGINIA,14.5,14,,17.9000,1,337.9,48.7,17.0,6.8,0,41.3,0.1920 ,19.2000 ,72.88,28213.00,0,/nchs/pressroom/states/westvirginia.htm,,,,48.7
WISCONSIN,8.2,10.4,,12.1000,1,305.8,70.2,27.0,16.7,0,38.5,0.2780 ,27.8000 ,108.15,,0,/nchs/pressroom/states/wisconsin.htm,,,,70.2
WYOMING,16,19.6,,11.1000,1,222.1,64.8,9.0,14.1,0,36.8,0.2570 ,25.7000 ,133.24,,0,/nchs/pressroom/states/wyoming.htm,,,,64.8
